ChatID: 1
2025-06-01 12:00:00 | Z3R0 | 192.168.0.3 | Fuck me, dude.
2025-06-01 15:33:00 | ToxicTommy | 192.168.0.5 | Plant the bomb!
2025-06-01 15:38:00 | ToxicTommy | 192.168.0.5 | Let's go A.
2025-06-01 15:48:00 | Softie | 192.168.0.6 | I'm so fucking done.
2025-06-01 15:58:00 | ToxicTommy | 192.168.0.5 | Let's go A.
2025-06-01 16:14:00 | NovaCat | 192.168.0.4 | This game is bullshit.
2025-06-01 16:22:00 | GGnore | 192.168.0.9 | Use utility.
2025-06-01 16:40:00 | GGnore | 192.168.0.9 | Well played.
2025-06-01 16:52:00 | GGnore | 192.168.0.9 | This team is actually good.
2025-06-01 17:11:00 | ClutchMaster | 192.168.1.1 | Well played.
2025-06-01 17:18:00 | Softie | 192.168.0.6 | Shit, that was close.
2025-06-01 17:24:00 | ClutchMaster | 192.168.1.1 | Who has bomb?
2025-06-01 17:34:00 | Softie | 192.168.0.6 | I'm so fucking done.
2025-06-01 17:42:00 | ClutchMaster | 192.168.1.1 | Don't peek mid.
2025-06-01 17:55:00 | NovaCat | 192.168.0.4 | Well played.
2025-06-01 18:09:00 | GGnore | 192.168.0.9 | This team is actually good.
2025-06-01 18:26:00 | GGnore | 192.168.0.9 | I need backup.
2025-06-01 18:37:00 | GGnore | 192.168.0.9 | I'm lagging.
2025-06-01 18:54:00 | NovaCat | 192.168.0.4 | GG guys!
2025-06-01 19:05:00 | GGnore | 192.168.0.9 | Anyone has drop?
2025-06-01 19:18:00 | Softie | 192.168.0.6 | Nice clutch!
2025-06-01 19:26:00 | ClutchMaster | 192.168.1.1 | Well played.
2025-06-01 19:31:00 | ClutchMaster | 192.168.1.1 | Don't peek mid.
2025-06-01 19:36:00 | GGnore | 192.168.0.9 | This team is actually good.
2025-06-01 19:52:00 | ClutchMaster | 192.168.1.1 | Well played.
2025-06-01 20:07:00 | ToxicTommy | 192.168.0.5 | Don't peek mid.
2025-06-01 20:13:00 | Softie | 192.168.0.6 | Sorry, my bad.
2025-06-01 20:18:00 | NovaCat | 192.168.0.4 | I need backup.
2025-06-01 20:35:00 | ToxicTommy | 192.168.0.5 | Sorry, my bad.
2025-06-01 20:51:00 | GGnore | 192.168.0.9 | Save weapons.
2025-06-01 20:56:00 | GGnore | 192.168.0.9 | Don't peek mid.
2025-06-01 21:03:00 | ToxicTommy | 192.168.0.5 | Use utility.
2025-06-02 09:08:00 | GGnore | 192.168.0.9 | I need backup.
2025-06-02 09:21:00 | ToxicTommy | 192.168.0.5 | Who has bomb?
2025-06-02 09:33:00 | ClutchMaster | 192.168.1.1 | Rotate fast.
2025-06-02 09:40:00 | Softie | 192.168.0.6 | Use utility.
2025-06-02 09:50:00 | NovaCat | 192.168.0.4 | Nice clutch!
2025-06-02 10:01:00 | NovaCat | 192.168.0.4 | Sorry, my bad.
2025-06-02 10:21:00 | ClutchMaster | 192.168.1.1 | Plant the bomb!
2025-06-02 10:32:00 | GGnore | 192.168.0.9 | Anyone has drop?
2025-06-02 10:49:00 | NovaCat | 192.168.0.4 | Nice clutch!
2025-06-02 11:01:00 | NovaCat | 192.168.0.4 | Who has bomb?
2025-06-02 11:16:00 | ClutchMaster | 192.168.1.1 | Rotate fast.
2025-06-02 11:21:00 | NovaCat | 192.168.0.4 | Let's go A.
2025-06-02 11:27:00 | ToxicTommy | 192.168.0.5 | Sorry, my bad.
2025-06-02 11:45:00 | NovaCat | 192.168.0.4 | Who has bomb?
2025-06-02 23:54:00 | GGnore | 192.168.0.9 | Let's go A.
2025-06-02 23:59:00 | Softie | 192.168.0.6 | I'm lagging.
2025-06-03 00:13:00 | ToxicTommy | 192.168.0.5 | Sorry, my bad.
2025-06-03 00:30:00 | GGnore | 192.168.0.9 | Anyone has drop?
2025-06-03 00:38:00 | ToxicTommy | 192.168.0.5 | I need backup.
2025-06-03 00:56:00 | ToxicTommy | 192.168.0.5 | This team is actually good.
2025-06-03 01:05:00 | ClutchMaster | 192.168.1.1 | Rotate fast.
2025-06-03 01:23:00 | ToxicTommy | 192.168.0.5 | Anyone has drop?
2025-06-03 01:35:00 | GGnore | 192.168.0.9 | I need backup.
2025-06-03 01:42:00 | Softie | 192.168.0.6 | Plant the bomb!
2025-06-03 13:49:00 | Softie | 192.168.0.6 | This team is actually good.
2025-06-03 13:55:00 | GGnore | 192.168.0.9 | Use utility.
2025-06-03 14:02:00 | Softie | 192.168.0.6 | Don't peek mid.
2025-06-03 14:14:00 | ClutchMaster | 192.168.1.1 | Who has bomb?
2025-06-03 14:28:00 | Softie | 192.168.0.6 | Save weapons.
2025-06-03 14:39:00 | ClutchMaster | 192.168.1.1 | Plant the bomb!
2025-06-03 14:51:00 | ToxicTommy | 192.168.0.5 | This team is actually good.
2025-06-03 15:10:00 | GGnore | 192.168.0.9 | Well played.
2025-06-03 15:17:00 | ClutchMaster | 192.168.1.1 | Save weapons.
2025-06-03 15:33:00 | GGnore | 192.168.0.9 | Use utility.
2025-06-04 03:49:00 | Softie | 192.168.0.6 | Well played.
2025-06-04 04:03:00 | ClutchMaster | 192.168.1.1 | Let's go A.
2025-06-04 04:15:00 | ClutchMaster | 192.168.1.1 | Save weapons.
2025-06-04 04:24:00 | ClutchMaster | 192.168.1.1 | Let's go A.
2025-06-04 04:37:00 | ClutchMaster | 192.168.1.1 | Let's go A.
2025-06-04 04:57:00 | ToxicTommy | 192.168.0.5 | Save weapons.
2025-06-04 05:07:00 | NovaCat | 192.168.0.4 | Who has bomb?
2025-06-04 05:20:00 | ClutchMaster | 192.168.1.1 | Let's go A.
2025-06-04 05:39:00 | Softie | 192.168.0.6 | Sorry, my bad.
2025-06-04 05:54:00 | NovaCat | 192.168.0.4 | Rotate fast.
2025-06-04 06:04:00 | NovaCat | 192.168.0.4 | Save weapons.
2025-06-04 06:12:00 | NovaCat | 192.168.0.4 | Let's go A.
2025-06-04 06:27:00 | Softie | 192.168.0.6 | I need backup.
2025-06-04 06:43:00 | NovaCat | 192.168.0.4 | GG guys!
2025-06-04 06:59:00 | ToxicTommy | 192.168.0.5 | Don't peek mid.
2025-06-04 07:08:00 | ClutchMaster | 192.168.1.1 | I'm lagging.
2025-06-04 07:23:00 | GGnore | 192.168.0.9 | I need backup.
ChatID: 3
2025-06-01 12:00:00 | NoScopeNancy | 192.168.0.8 | What the fuck are you doing?!
2025-06-01 12:17:00 | Z3R0 | 192.168.0.3 | What the fuck are you doing?!
2025-06-01 12:22:00 | Z3R0 | 192.168.0.3 | Damn, missed again.
2025-06-01 12:41:00 | AimGod | 192.168.0.7 | Damn it, guys!
2025-06-01 12:51:00 | ClutchMaster | 192.168.1.1 | Shit, that was close.
2025-06-01 13:00:00 | ClutchMaster | 192.168.1.1 | Shit team.
2025-06-01 13:15:00 | Z3R0 | 192.168.0.3 | Shit team.
2025-06-01 13:30:00 | NoScopeNancy | 192.168.0.8 | Holy shit that was intense.
2025-06-01 13:38:00 | ClutchMaster | 192.168.1.1 | Shit, that was close.
2025-06-01 13:53:00 | Z3R0 | 192.168.0.3 | This team is actually good.
2025-06-01 14:02:00 | NoScopeNancy | 192.168.0.8 | Shit, that was close.
2025-06-01 14:22:00 | Z3R0 | 192.168.0.3 | GG guys!
2025-06-01 14:29:00 | ClutchMaster | 192.168.1.1 | Let's go A.
2025-06-01 14:38:00 | K1llMePlz | 192.168.0.2 | Let's go A.
2025-06-01 14:46:00 | NoScopeNancy | 192.168.0.8 | GG guys!
2025-06-01 14:58:00 | Z3R0 | 192.168.0.3 | I need backup.
2025-06-01 15:09:00 | ClutchMaster | 192.168.1.1 | Nice clutch!
2025-06-01 15:16:00 | NoScopeNancy | 192.168.0.8 | Don't peek mid.
2025-06-01 15:25:00 | ClutchMaster | 192.168.1.1 | Don't peek mid.
2025-06-01 15:41:00 | AimGod | 192.168.0.7 | Fucking campers.
2025-06-01 15:58:00 | AimGod | 192.168.0.7 | Fucking campers.
2025-06-01 16:05:00 | AimGod | 192.168.0.7 | I'm lagging.
2025-06-01 16:22:00 | K1llMePlz | 192.168.0.2 | Rotate fast.
2025-06-02 04:34:00 | NoScopeNancy | 192.168.0.8 | Save weapons.
2025-06-02 04:42:00 | Z3R0 | 192.168.0.3 | Anyone has drop?
2025-06-02 04:52:00 | ClutchMaster | 192.168.1.1 | Let's go A.
2025-06-02 05:02:00 | NoScopeNancy | 192.168.0.8 | Plant the bomb!
2025-06-02 05:19:00 | Z3R0 | 192.168.0.3 | This team is actually good.
2025-06-02 05:36:00 | K1llMePlz | 192.168.0.2 | Who has bomb?
2025-06-02 05:47:00 | K1llMePlz | 192.168.0.2 | Anyone has drop?
2025-06-02 06:07:00 | AimGod | 192.168.0.7 | Nice clutch!
2025-06-02 06:22:00 | ClutchMaster | 192.168.1.1 | I need backup.
2025-06-02 06:40:00 | Z3R0 | 192.168.0.3 | This team is actually good.
2025-06-02 06:58:00 | K1llMePlz | 192.168.0.2 | Let's go A.
2025-06-02 07:15:00 | Z3R0 | 192.168.0.3 | Use utility.
2025-06-02 07:34:00 | NoScopeNancy | 192.168.0.8 | Nice clutch!
2025-06-02 07:51:00 | AimGod | 192.168.0.7 | Who has bomb?
2025-06-02 08:09:00 | ClutchMaster | 192.168.1.1 | Let's go A.
2025-06-02 08:19:00 | NoScopeNancy | 192.168.0.8 | Plant the bomb!
2025-06-02 08:36:00 | NoScopeNancy | 192.168.0.8 | Don't peek mid.
2025-06-02 08:43:00 | AimGod | 192.168.0.7 | Anyone has drop?
2025-06-02 08:48:00 | NoScopeNancy | 192.168.0.8 | Well played.
2025-06-02 08:53:00 | AimGod | 192.168.0.7 | Plant the bomb!
2025-06-02 09:13:00 | K1llMePlz | 192.168.0.2 | Anyone has drop?
2025-06-02 09:28:00 | NoScopeNancy | 192.168.0.8 | Who has bomb?
2025-06-02 09:43:00 | NoScopeNancy | 192.168.0.8 | Use utility.
2025-06-02 10:01:00 | NoScopeNancy | 192.168.0.8 | Plant the bomb!
2025-06-02 10:13:00 | ClutchMaster | 192.168.1.1 | Well played.
2025-06-02 10:28:00 | Z3R0 | 192.168.0.3 | Let's go A.
2025-06-02 10:46:00 | ClutchMaster | 192.168.1.1 | Well played.
2025-06-02 10:56:00 | K1llMePlz | 192.168.0.2 | Sorry, my bad.
2025-06-02 11:04:00 | Z3R0 | 192.168.0.3 | Sorry, my bad.
2025-06-02 11:20:00 | Z3R0 | 192.168.0.3 | Let's go A.
2025-06-02 11:32:00 | K1llMePlz | 192.168.0.2 | Use utility.
2025-06-02 11:37:00 | K1llMePlz | 192.168.0.2 | Save weapons.
2025-06-02 11:50:00 | AimGod | 192.168.0.7 | GG guys!
2025-06-02 12:06:00 | NoScopeNancy | 192.168.0.8 | Anyone has drop?
2025-06-02 12:19:00 | NoScopeNancy | 192.168.0.8 | Don't peek mid.
2025-06-02 12:24:00 | Z3R0 | 192.168.0.3 | Anyone has drop?
2025-06-02 12:33:00 | ClutchMaster | 192.168.1.1 | I'm lagging.
2025-06-02 12:45:00 | ClutchMaster | 192.168.1.1 | Sorry, my bad.
2025-06-02 13:04:00 | K1llMePlz | 192.168.0.2 | Who has bomb?
2025-06-02 13:11:00 | Z3R0 | 192.168.0.3 | I'm lagging.
2025-06-02 13:28:00 | K1llMePlz | 192.168.0.2 | Save weapons.
2025-06-02 13:38:00 | Z3R0 | 192.168.0.3 | I need backup.
2025-06-02 13:53:00 | AimGod | 192.168.0.7 | Sorry, my bad.
2025-06-02 14:01:00 | K1llMePlz | 192.168.0.2 | Don't peek mid.
2025-06-02 14:10:00 | K1llMePlz | 192.168.0.2 | Rotate fast.
2025-06-02 14:19:00 | NoScopeNancy | 192.168.0.8 | Who has bomb?
2025-06-02 14:32:00 | Z3R0 | 192.168.0.3 | This team is actually good.
2025-06-02 14:52:00 | Z3R0 | 192.168.0.3 | Use utility.
2025-06-02 15:06:00 | Z3R0 | 192.168.0.3 | Sorry, my bad.
2025-06-02 15:13:00 | K1llMePlz | 192.168.0.2 | What the fuck are you doing?!
2025-06-02 15:23:00 | NoScopeNancy | 192.168.0.8 | Well played.
2025-06-02 15:28:00 | K1llMePlz | 192.168.0.2 | Damn, missed again.
2025-06-02 15:42:00 | NoScopeNancy | 192.168.0.8 | Nice clutch!
2025-06-02 15:51:00 | Z3R0 | 192.168.0.3 | Save weapons.
2025-06-02 16:00:00 | Z3R0 | 192.168.0.3 | I'm lagging.
2025-06-02 16:09:00 | NoScopeNancy | 192.168.0.8 | Who has bomb?
2025-06-02 16:23:00 | AimGod | 192.168.0.7 | Don't peek mid.
2025-06-02 16:37:00 | NoScopeNancy | 192.168.0.8 | Well played.
2025-06-02 16:47:00 | K1llMePlz | 192.168.0.2 | Fuck me, dude.
2025-06-03 05:06:00 | Z3R0 | 192.168.0.3 | Let's go A.
2025-06-03 05:15:00 | K1llMePlz | 192.168.0.2 | GG guys!
2025-06-03 05:24:00 | Z3R0 | 192.168.0.3 | I need backup.
2025-06-03 05:33:00 | Z3R0 | 192.168.0.3 | Nice clutch!
2025-06-03 05:38:00 | ClutchMaster | 192.168.1.1 | Sorry, my bad.
2025-06-03 05:49:00 | AimGod | 192.168.0.7 | I'm lagging.
2025-06-03 06:07:00 | ClutchMaster | 192.168.1.1 | Plant the bomb!
2025-06-03 06:21:00 | NoScopeNancy | 192.168.0.8 | Use utility.
2025-06-03 06:40:00 | ClutchMaster | 192.168.1.1 | Nice clutch!
2025-06-03 06:48:00 | NoScopeNancy | 192.168.0.8 | Nice clutch!
2025-06-03 07:00:00 | Z3R0 | 192.168.0.3 | Well played.
2025-06-03 07:07:00 | Z3R0 | 192.168.0.3 | Who has bomb?
2025-06-03 07:20:00 | K1llMePlz | 192.168.0.2 | GG guys!
2025-06-03 07:25:00 | ClutchMaster | 192.168.1.1 | Rotate fast.
2025-06-03 07:45:00 | K1llMePlz | 192.168.0.2 | Sorry, my bad.
2025-06-03 07:58:00 | NoScopeNancy | 192.168.0.8 | Anyone has drop?
2025-06-03 08:14:00 | K1llMePlz | 192.168.0.2 | GG guys!
2025-06-03 08:25:00 | NoScopeNancy | 192.168.0.8 | Let's go A.
ChatID: 4
2025-06-01 12:00:00 | Softie | 192.168.0.6 | Holy shit that was intense.
2025-06-01 12:15:00 | Softie | 192.168.0.6 | I'm so fucking done.
2025-06-01 12:32:00 | GGnore | 192.168.0.9 | Damn it, guys!
2025-06-01 12:52:00 | ToxicTommy | 192.168.0.5 | This game is bullshit.
2025-06-01 13:06:00 | Softie | 192.168.0.6 | Fucking campers.
2025-06-01 13:12:00 | ToxicTommy | 192.168.0.5 | I'm so fucking done.
2025-06-02 01:18:00 | K1llMePlz | 192.168.0.2 | GG guys!
2025-06-02 01:36:00 | ToxicTommy | 192.168.0.5 | Holy shit that was intense.
2025-06-02 01:55:00 | ToxicTommy | 192.168.0.5 | Damn, missed again.
2025-06-02 02:02:00 | NovaCat | 192.168.0.4 | What the fuck are you doing?!
2025-06-02 02:18:00 | K1llMePlz | 192.168.0.2 | Who has bomb?
2025-06-02 02:35:00 | Softie | 192.168.0.6 | Use utility.
2025-06-02 02:40:00 | Softie | 192.168.0.6 | Use utility.
2025-06-02 02:58:00 | GGnore | 192.168.0.9 | Damn, missed again.
2025-06-02 03:05:00 | K1llMePlz | 192.168.0.2 | I'm lagging.
2025-06-02 03:11:00 | K1llMePlz | 192.168.0.2 | Who has bomb?
2025-06-02 03:22:00 | GGnore | 192.168.0.9 | Damn, missed again.
2025-06-02 03:37:00 | Softie | 192.168.0.6 | Nice clutch!
2025-06-02 15:50:00 | GGnore | 192.168.0.9 | Rotate fast.
2025-06-02 16:05:00 | NovaCat | 192.168.0.4 | Shit, that was close.
2025-06-02 16:22:00 | K1llMePlz | 192.168.0.2 | Fuck me, dude.
2025-06-02 16:31:00 | ToxicTommy | 192.168.0.5 | Holy shit that was intense.
2025-06-02 16:41:00 | K1llMePlz | 192.168.0.2 | Shit, that was close.
2025-06-02 16:57:00 | ToxicTommy | 192.168.0.5 | Holy shit that was intense.
2025-06-02 17:07:00 | NovaCat | 192.168.0.4 | Damn it, guys!
2025-06-02 17:12:00 | Softie | 192.168.0.6 | I'm lagging.
2025-06-02 17:31:00 | GGnore | 192.168.0.9 | Anyone has drop?
2025-06-02 17:48:00 | NovaCat | 192.168.0.4 | Nice clutch!
2025-06-02 18:03:00 | K1llMePlz | 192.168.0.2 | Damn it, guys!
2025-06-02 18:13:00 | Softie | 192.168.0.6 | Save weapons.
2025-06-02 18:21:00 | K1llMePlz | 192.168.0.2 | Save weapons.
2025-06-02 18:38:00 | Softie | 192.168.0.6 | Sorry, my bad.
2025-06-02 18:48:00 | GGnore | 192.168.0.9 | Use utility.
2025-06-02 18:58:00 | ToxicTommy | 192.168.0.5 | I'm so fucking done.
2025-06-02 19:12:00 | ToxicTommy | 192.168.0.5 | This team is actually good.
2025-06-02 19:31:00 | NovaCat | 192.168.0.4 | I'm lagging.
2025-06-02 19:40:00 | GGnore | 192.168.0.9 | Don't peek mid.
2025-06-02 19:45:00 | Softie | 192.168.0.6 | Sorry, my bad.
2025-06-02 19:55:00 | NovaCat | 192.168.0.4 | Don't peek mid.
2025-06-02 20:04:00 | K1llMePlz | 192.168.0.2 | Save weapons.
2025-06-02 20:24:00 | K1llMePlz | 192.168.0.2 | Use utility.
2025-06-02 20:32:00 | K1llMePlz | 192.168.0.2 | Rotate fast.
2025-06-02 20:50:00 | ToxicTommy | 192.168.0.5 | Don't peek mid.
2025-06-02 21:07:00 | NovaCat | 192.168.0.4 | I'm lagging.
2025-06-02 21:16:00 | GGnore | 192.168.0.9 | Sorry, my bad.
2025-06-02 21:36:00 | Softie | 192.168.0.6 | Don't peek mid.
2025-06-02 21:49:00 | Softie | 192.168.0.6 | Nice clutch!
2025-06-02 21:55:00 | Softie | 192.168.0.6 | Let's go A.
2025-06-02 22:05:00 | K1llMePlz | 192.168.0.2 | Who has bomb?
2025-06-02 22:14:00 | Softie | 192.168.0.6 | Who has bomb?
2025-06-02 22:26:00 | K1llMePlz | 192.168.0.2 | Anyone has drop?
2025-06-02 22:31:00 | ToxicTommy | 192.168.0.5 | Use utility.
2025-06-02 22:45:00 | K1llMePlz | 192.168.0.2 | Use utility.
2025-06-02 23:05:00 | K1llMePlz | 192.168.0.2 | I'm lagging.
2025-06-02 23:24:00 | NovaCat | 192.168.0.4 | Use utility.
2025-06-02 23:30:00 | ToxicTommy | 192.168.0.5 | I need backup.
2025-06-03 11:37:00 | NovaCat | 192.168.0.4 | Save weapons.
2025-06-03 11:50:00 | Softie | 192.168.0.6 | I'm lagging.
